id,oof_pred,BeatsPerMinute
0,118.80204772949219,147.5302
1,118.85667419433594,136.15963
2,120.97775268554688,55.31989
3,118.80656433105469,147.91212
4,119.28446197509766,89.58511
5,118.84034729003906,151.43602
6,118.74523162841797,151.63439
7,118.9390640258789,123.31545
8,119.03846740722656,133.59806
9,118.23178100585938,117.3979
10,119.39955139160156,131.35937
11,119.73341369628906,132.55244
12,122.88778686523438,137.28701
13,118.96138000488281,143.72538
14,118.66800689697266,145.92435
15,117.63599395751953,119.94727
16,118.58882141113281,151.17802
17,119.02340698242188,95.88081
18,119.1434097290039,103.4832
19,118.85578918457031,86.07513
20,117.89390563964844,148.24284
21,120.8779296875,145.20788
22,118.26834869384766,80.24409
23,119.23382568359375,121.66038
24,118.91356658935547,152.61827
25,120.02928924560547,143.18457
26,118.67204284667969,120.60487
27,119.41362762451172,94.4265
28,119.12578582763672,117.07434
29,119.41741943359375,86.68904
30,119.16329956054688,131.5766
31,119.04609680175781,89.0468
32,119.00594329833984,159.6458
33,119.27925872802734,137.98394
34,118.173095703125,93.82487
35,118.9828872680664,134.50628
36,119.58462524414062,105.21575
37,118.66962432861328,143.77942
38,118.21680450439453,137.74948
39,119.01309204101562,131.35937
40,119.6277084350586,131.60905
41,118.77566528320312,105.74492
42,118.56196594238281,119.62015
43,119.15714263916016,87.49651
44,118.99848175048828,127.97991
45,118.77900695800781,135.13675
46,119.1114730834961,120.00314
47,118.38810729980469,101.33914
48,118.79000854492188,91.87798
49,117.81269836425781,77.81766
50,119.214111328125,110.98075
51,118.77442932128906,136.70811
52,118.76178741455078,75.72824
53,119.09695434570312,66.70075
54,118.46253204345703,147.69539
55,118.64603424072266,91.04349
56,119.06121826171875,127.041
57,119.00382232666016,93.46424
58,118.95358276367188,95.74747
59,118.76061248779297,99.88304
60,120.54131317138672,84.59327
61,119.27970123291016,115.70161
62,118.94347381591797,105.16036
63,118.14278411865234,110.31496
64,119.41764831542969,118.74766
65,118.640869140625,130.4632
66,118.92997741699219,135.44048
67,118.72967529296875,168.44082
68,118.64002227783203,132.79311
69,118.66828918457031,98.22552
70,119.00364685058594,93.14822
71,119.0573501586914,126.13143
72,118.6799545288086,101.08129
73,118.88479614257812,147.83128
74,122.18929290771484,134.96554
75,119.25753784179688,131.21882
76,119.04136657714844,122.93259
77,118.51426696777344,115.98935
78,118.93779754638672,115.10074
79,119.1579818725586,164.3297
80,118.3262939453125,115.91169
81,119.2705307006836,104.94462
82,119.56263732910156,115.78353
83,119.41353607177734,130.06156
84,118.49786376953125,68.48346
85,118.72993469238281,115.82263
86,119.18414306640625,97.93957
87,119.5307388305664,115.4009
88,118.88849639892578,124.05621
89,118.54879760742188,101.69606
90,118.6077880859375,151.38485
91,118.14158630371094,108.26822
92,118.83585357666016,122.35146
93,118.76815795898438,128.51266
94,118.4324722290039,124.76062
95,118.89575958251953,67.79192
96,119.21649169921875,80.90711
97,119.35672760009766,88.96294
98,119.5223388671875,144.08433
99,118.35249328613281,150.2063
100,118.99791717529297,132.60635
101,118.759033203125,129.65646
102,118.7291259765625,104.00858
103,118.92253112792969,129.73709
104,119.189697265625,80.16462
105,118.9677734375,87.06295
106,118.6003646850586,120.89429
107,119.12413787841797,107.85067
108,118.88655853271484,98.90529
109,118.52645874023438,100.96655
